id,first_match,second_match,note
1000_l,0,0,0
251_c,0,0,0
252_l,1,0,10
253_c,1,6,15
254_c,1,0,10
255_c,1,2,19
256_r,0,0,0
257_r,2,6,14
258_c,1,2,19
259_c,1,2,19
260_c,4,7,11
261_c,1,2,19
262_l,1,2,19
263_l,2,7,13
264_l,1,3,18
265_r,1,10,11
266_l,1,0,10
267_l,0,0,0
268_c,1,2,19
269_r,1,9,12
270_l,1,4,17
271_r,0,0,0
272_l,0,0,0
273_l,0,0,0
274_c,4,6,12
275_c,1,5,16
276_c,1,0,10
277_c,1,2,19
278_c,2,0,9
279_l,5,0,6
280_c,5,0,6
281_l,1,2,19
282_l,1,0,10
283_c,1,0,10
284_c,1,0,10
285_c,1,5,16
286_c,1,0,10
287_c,1,3,18
288_c,7,0,4
289_l,1,3,18
290_l,1,7,14
291_c,1,2,19
292_r,0,0,0
293_r,1,0,10
294_c,2,3,17
295_c,1,8,13
296_l,1,2,19
297_l,0,0,0
298_c,2,6,14
299_c,0,0,0
300_c,1,2,19
301_l,5,0,6
302_c,1,2,19
303_r,1,2,19
304_c,1,3,18
305_r,2,3,17
306_l,1,4,17
307_l,8,0,3
308_l,3,0,8
309_l,0,0,0
310_l,1,2,19
311_c,1,3,18
312_r,1,2,19
313_l,0,0,0
314_r,1,4,17
315_r,1,2,19
316_l,1,3,18
317_c,1,0,10
318_r,0,0,0
319_c,1,0,10
320_l,0,0,0
321_l,1,2,19
322_r,1,2,19
323_c,1,2,19
324_c,0,0,0
325_l,1,0,10
326_c,1,2,19
327_r,0,0,0
328_l,4,0,7
329_r,2,0,9
330_c,7,0,4
331_l,2,0,9
332_l,1,2,19
333_l,3,0,8
334_c,0,0,0
335_c,1,6,15
336_r,0,0,0
337_c,1,2,19
338_l,1,2,19
339_r,0,0,0
340_r,1,0,10
341_l,0,0,0
342_l,1,7,14
343_r,1,2,19
344_l,10,0,1
345_c,1,2,19
346_r,1,0,10
347_c,1,2,19
348_c,1,0,10
349_r,1,10,11
350_r,7,0,4
351_c,3,0,8
352_r,0,0,0
353_r,1,6,15
354_r,1,2,19
355_l,0,0,0
356_l,0,0,0
357_c,2,0,9
358_l,1,0,10
359_c,1,2,19
360_l,10,0,1
361_r,0,0,0
362_l,1,5,16
363_l,1,0,10
364_c,2,5,15
365_c,2,4,16
366_r,3,8,11
367_l,1,0,10
368_c,1,2,19
369_l,0,0,0
370_r,1,0,10
371_l,1,0,10
372_l,5,0,6
373_c,1,0,10
374_c,1,0,10
375_l,0,0,0
376_l,1,4,17
377_c,1,2,19
378_r,0,0,0
379_r,0,0,0
380_r,1,0,10
381_l,5,10,7
382_c,1,10,11
383_c,1,0,10
384_c,1,5,16
385_c,1,2,19
386_l,1,2,19
387_l,1,0,10
388_l,1,3,18
389_r,1,2,19
390_r,1,0,10
391_c,2,0,9
392_l,1,3,18
393_r,0,0,0
394_c,1,2,19
395_r,1,6,15
396_l,1,7,14
397_c,0,0,0
398_c,0,0,0
399_c,0,0,0
400_c,1,4,17
401_l,1,2,19
402_r,0,0,0
403_r,0,0,0
404_r,3,0,8
405_r,0,0,0
406_r,1,3,18
407_l,2,0,9
408_r,1,5,16
409_r,3,9,10
410_r,0,0,0
411_l,0,0,0
412_r,1,10,11
413_r,3,4,15
414_c,1,3,18
415_l,1,2,19
416_l,0,0,0
417_l,0,0,0
418_r,1,0,10
419_c,1,2,19
420_c,4,0,7
421_c,1,0,10
422_c,1,2,19
423_r,0,0,0
424_r,1,0,10
425_l,1,2,19
426_c,1,2,19
427_l,1,0,10
428_c,2,0,9
429_l,0,0,0
430_r,4,0,7
431_r,1,0,10
432_c,5,7,10
433_c,1,3,18
434_l,1,0,10
435_r,10,0,1
436_r,1,2,19
437_l,1,0,10
438_r,5,0,6
439_r,0,0,0
440_c,4,0,7
441_c,1,2,19
442_l,8,0,3
443_r,3,0,8
444_r,1,2,19
445_r,1,0,10
446_r,1,4,17
447_r,1,2,19
448_l,6,0,5
449_l,0,0,0
450_l,4,10,8
451_r,3,0,8
452_c,8,0,3
453_c,1,0,10
454_c,1,2,19
455_l,1,9,12
456_r,1,2,19
457_l,1,0,10
458_l,1,2,19
459_l,1,2,19
460_c,0,0,0
461_r,3,0,8
